Code gare;Intitul̩ gare;Nombre plateformes;Segment DRG;UIC;Unit̩ gare;TVS;Code postal;Commune;D̩partement - Commune;D̩partement;R̩gion;Agence G&C;R̩gion SNCF;Niveau de service;Longitude WGS 84;Latitude WGS 84;Date fin validit̩ gare
1;Lyc̩e Henri Sellier;1;b;87988717;;LHS;93190;Livry-Gargan;93-046;Seine-Saint-Denis;�_le-de-France;AG Ile-de-France;REGION DE PARIS-EST;;2.51504;48.91646;
2;Remise �� Jorelle;1;b;87988709;;RJL;93140;Bondy;93-010;Seine-Saint-Denis;�_le-de-France;AG Ile-de-France;REGION DE PARIS-EST;;2.487751;48.893170;
4;Cerb̬re;1;c;87785006;;CER;66290;Cerb̬re;66-048;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.1634033;42.4417732;
5;Bena Fanes;1;c;87784892;;BFA;66760;Enveitg;66-066;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;1.9167264;42.4580782;
6;Ur les Escaldes;1;c;87784884;;URL;66760;Ur;66-218;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;1.9404821;42.457481;
7;Bourg-Madame;1;c;87784876;;BMD;66760;Bourg-Madame;66-025;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;1.9486704;42.4324069;
8;Oss̩ja;1;c;87784868;;OSA;66340;Oss̩ja;66-130;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;1.9771166;42.4199665;
9;Sainte-L̩ocadie;1;c;87784850;;XLE;66800;Sainte-L̩ocadie;66-181;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.0104348;42.4411844;
10;Err;1;c;87784843;;ERR;66800;Err;66-067;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.0290375;42.442777;
11;Saillagouse;1;c;87784835;;SGW;66800;Saillagouse;66-167;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.0321126;42.4568855;
12;Estavar;1;c;87784827;;EAA;66800;Estavar;66-072;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.0179071;42.4632434;
13;Font-Romeu-Odeillo-Via;1;c;87784819;;FRM;66120;Font-Romeu-Odeillo-Via;66-124;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.0383917;42.4912317;
14;Bolqu̬re - Eyne;1;c;87784801;;BQE;66210;Cabanasse;66-027;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.0875591;42.4978734;
15;Mont-Louis - La Cabanasse;1;c;87784793;;MTC;66210;Cabanasse;66-027;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.1131379;42.5020902;
16;Plan̬s;1;c;87784785;;PNW;66210;Plan̬s;66-142;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.1369269;42.5009185;
17;Sauto;1;c;87784777;;TOX;66210;Sauto;66-192;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.1600389;42.5063705;
18;Fontp̩drouse Saint-Thomas les Bains;1;c;87784769;;FTB;66360;Fontp̩drouse;66-080;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.1886585;42.5138062;
19;Thu̬s Caren̤a;1;c;87784751;;THG;66360;Thu̬s-Entre-Valls;66-209;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.2227279;42.5229486;
20;Thu̬s les Bains;1;c;87784744;;THB;66360;Canaveilles;66-036;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.249094;42.5288009;
21;Nyer;1;c;87784736;;NYE;66360;Nyer;66-123;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.2630177;42.5416979;
22;Olette - Canaveilles les Bains;1;c;87784728;;OLE;66360;Olette;66-125;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.2719309;42.55472;
23;Joncet;1;c;87784710;;JCT;66193;Serdinya;66-193;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.3111464;42.5615245;
24;Serdinya;1;c;87784702;;ZDI;66360;Serdinya;66-193;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.3230869;42.567023;
25;Villefranche - Vernet-les-Bains;1;b;87784686;;VVB;66820;Villefranche-de-Conflent;66-223;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.370396;42.591998;
26;Ria;1;c;87784660;;RAJ;66500;Ria-Sirach;66-161;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.3907488;42.6034078;
27;Prades - Molitg-les-Bains;1;c;87784637;;PDS;66500;Prades;66-149;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.4294184;42.6170988;
28;Marquixanes;1;c;87784629;;MQG;66320;Marquixanes;66-103;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.4858388;42.6428224;
29;Vin̤a;1;c;87784611;;VCA;66320;Vin̤a;66-230;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.5276163;42.6481368;
30;Ille-sur-T̻t;1;c;87784561;;ILL;66130;Ille-sur-T̻t;66-088;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.6242863;42.6682396;
31;Millas;1;c;87784546;;MYR;66170;Millas;66-108;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.6937502;42.6888961;
32;Saint-F̩liu-d'Avall;1;c;87784520;;FDL;66170;Saint-F̩liu-d'Avall;66-174;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.7378217;42.6772874;
33;Le Soler;1;c;87784512;;LSL;66270;Soler;66-195;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.7930798;42.6787626;
34;Banyuls-sur-Mer;1;c;87784298;;BAN;66650;Banyuls-sur-Mer;66-016;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.1250496;42.4829582;
35;Port-Vendres;1;c;87784264;;POV;66660;Port-Vendres;66-148;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.1025762;42.5136077;
36;Collioure;1;c;87784256;;COX;66190;Collioure;66-053;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.0782319;42.5269437;
37;Argel̬s-sur-Mer;1;b;87784231;;AMR;66700;Argel̬s-sur-Mer;66-008;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.022349;42.543970;
38;Elne;1;c;87784207;;ELN;66200;Elne;66-065;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.9635851;42.5971138;
39;Rivesaltes;1;c;87784173;;RVT;66600;Rivesaltes;66-164;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.86789;42.7664405;
40;Salses;1;c;87784157;;SAL;66600;Salses-le-Ch̢teau;66-190;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;2.9174466;42.8356091;
41;Perpignan;1;a;87784009;;PPN;66027;Perpignan;66-136;Pyr̩n̩es-Orientales;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;2; 2.879779;42.696292;
42;Laissac;1;c;87783761;;LVY;12310;Laissac;12-120;Aveyron;Midi-Pyr̩n̩es;AG Sud-Ouest;REGION MIDI PYRENEES;1;2.8222251;44.3750307;
43;Belvezet;1;c;87783670;;BVZ;48170;Belvezet;48-023;Loz̬re;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.7518919;44.5617971;
44;Allenc;1;c;87783654;;AEN;48190;Allenc;48-003;Loz̬re;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.6638926;44.541296;
45;Bagnols - Chadenet;1;c;87783647;;BCT;48190;Allenc;48-003;Loz̬re;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.628178;44.5286125;
46;Mende;1;c;87783605;;MDE;48000;Mende;48-095;Loz̬re;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.5019875;44.522322;
47;Barjac;1;c;87783563;;BJC;48000;Barjac;48-018;Loz̬re;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.4109786;44.4992638;
48;Le Bruel;1;c;87783548;;BWQ;48056;Esclan̬des;48-056;Loz̬re;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.358325;44.4813286;
49;Chanac;1;c;87783530;;CNA;48230;Chanac;48-039;Loz̬re;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.3454117;44.4739786;
50;Les Salelles;1;c;87783514;;SQL;48230;Salelles;48-185;Loz̬re;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.2804008;44.4832687;
51;Tournemire - Roquefort;1;c;87783456;;TEO;12250;Tournemire;12-282;Aveyron;Midi-Pyr̩n̩es;AG Sud-Ouest;REGION LANGUEDOC-ROUSSILLON;1;3.0166261;43.9698002;
52;Saint-Rome-de-Cernon;1;c;87783431;;SDO;12490;Saint-Rome-de-Cernon;12-243;Aveyron;Midi-Pyr̩n̩es;AG Sud-Ouest;REGION LANGUEDOC-ROUSSILLON;1;2.9673744;44.013981;
53;Saint-Georges-de-Luzen̤on;1;c;87783423;;SDU;12100;Saint-Georges-de-Luzen̤on;12-225;Aveyron;Midi-Pyr̩n̩es;AG Sud-Ouest;REGION LANGUEDOC-ROUSSILLON;1;2.983784;44.066553;
54;S̩v̩rac-le-Ch̢teau;1;c;87783365;;SVC;12150;S̩v̩rac-le-Ch̢teau;12-270;Aveyron;Midi-Pyr̩n̩es;AG Sud-Ouest;REGION LANGUEDOC-ROUSSILLON;1;3.0569451;44.3246516;
55;Campagnac - Saint-Geniez;1;c;87783340;;CNT;12560;Campagnac;12-047;Aveyron;Midi-Pyr̩n̩es;AG Sud-Ouest;REGION LANGUEDOC-ROUSSILLON;1;3.0664008;44.4219559;
56;Banassac - La Canourgue;1;c;87783324;;BAA;48500;Banassac;48-017;Loz̬re;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.1958518;44.4477632;
57;Le Monastier;1;c;87783308;;LMR;48100;Monastier-Pin-Mori̬s;48-099;Loz̬re;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.252057;44.5089682;
58;Chirac;1;c;87783290;;CAC;48100;Chirac;48-049;Loz̬re;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.2638181;44.5246607;
59;Marvejols;1;c;87783282;;MVJ;48100;Marvejols;48-092;Loz̬re;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.2810718;44.5446819;
60;Aumont-Aubrac;1;c;87783266;;AAU;48130;Aumont-Aubrac;48-009;Loz̬re;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.2835489;44.7181699;
61;Saint-Ch̩ly-d'Apcher;1;c;87783241;;SYH;48200;Saint-Ch̩ly-d'Apcher;48-140;Loz̬re;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.2706895;44.8017375;
62;Saint-Flour - Chaudes-Aigues;1;c;87783175;;SFC;15100;Saint-Flour;15-187;Cantal;Auvergne;AG Centre Est Rh̫ne Alpin;REGION AUVERGNE;1;3.1062862;45.0350122;
63;Millau;1;b;87783001;;MAU;12100;Millau;12-145;Aveyron;Midi-Pyr̩n̩es;AG Sud-Ouest;REGION LANGUEDOC-ROUSSILLON;1;3.074570;44.102344;
64;Clermont la Pardieu;1;b;87782607;;COP;63000;Clermont-Ferrand;63-113;Puy-de-D̫me;Auvergne;AG Centre Est Rh̫ne Alpin;REGION AUVERGNE;1;3.134163;45.766947;
65;Magalas;1;c;87781666;;MGA;34480;Magalas;34-147;H̩rault;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.2295415;43.4675998;
66;B̩darieux;1;c;87781609;;BED;34600;B̩darieux;34-028;H̩rault;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.1495688;43.6086972;
67;Le Bousquet-d'Orb;1;c;87781583;;LBD;34260;Bousquet-d'Orb;34-038;H̩rault;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.1689379;43.6912097;
68;Lunas;1;c;87781575;;LKH;34650;Lunas;34-144;H̩rault;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.1948986;43.7095814;
69;Les Cabrils;1;c;87781559;;KBI;34233;Roqueredonde;34-233;H̩rault;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.1860831;43.779707;
70;Ceilhes - Roqueredonde;1;c;87781542;;COQ;34260;Roqueredonde;34-233;H̩rault;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.1551583;43.8122656;
71;Montpaon;1;c;87781534;;MNP;12540;Fondamente;12-155;Aveyron;Midi-Pyr̩n̩es;AG Sud-Ouest;REGION LANGUEDOC-ROUSSILLON;1;3.1097221;43.8685236;
72;Marseillan Plage;1;c;87781294;;MPP;34340;Marseillan;34-150;H̩rault;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.5355281;43.3181964;
73;Agde;1;a;87781278;;AGD;34300;Agde;34-003;H̩rault;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;2; 3.466203;43.317280;
74;Vias;1;c;87781260;;VAB;34450;Vias;34-332;H̩rault;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.4253562;43.315653;
75;Nissan;1;c;87781179;;NIS;34440;Nissan-lez-Enserune;34-183;H̩rault;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.116678;43.2955681;
76;Coursan;1;c;87781161;;KOS;11110;Coursan;11-106;Aude;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.0510465;43.23369;
77;Narbonne;1;a;87781104;;NBN;11100;Narbonne;11-262;Aude;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;2; 3.005910;43.190387;
78;Leucate la Franqui;1;c;87781088;;LEU;11370;Leucate;11-202;Aude;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.0128555;42.9327725;
79;Port-la-Nouvelle;1;c;87781062;;PLN;11210;Port-la-Nouvelle;11-266;Aude;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.0388188;43.0199342;
80;B̩ziers;1;a;87781005;;BZS;34500;B̩ziers;34-032;H̩rault;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;2; 3.218873;43.336330;
81;Le Grau-du-Roi;1;c;87775866;;LGR;30240;Grau-du-Roi;30-133;Gard;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;4.140338;43.5371273;
82;Aigues-Mortes;1;c;87775858;;AIM;30220;Aigues-Mortes;30-003;Gard;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;4.1912102;43.5709008;
83;Saint-Laurent-d'Aigouze;1;c;87775841;;XLZ;30220;Saint-Laurent-d'Aigouze;30-276;Gard;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;4.1930703;43.6392883;
84;Aimargues;1;c;87775833;;AIA;30470;Aimargues;30-006;Gard;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;4.2082933;43.6786107;
85;Le Cailar;1;c;87775825;;LCI;30740;Cailar;30-059;Gard;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;4.2354236;43.6834141;
86;Vauvert;1;c;87775817;;VAT;30600;Vauvert;30-341;Gard;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;4.270165;43.6950375;
87;Beauvoisin;1;c;87775809;;BVW;30640;Beauvoisin;30-033;Gard;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;4.3212178;43.7245026;
88;G̩n̩rac;1;c;87775791;;GEC;30510;G̩n̩rac;30-128;Gard;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;4.3434742;43.7324379;
96;Fons - Saint-Mamert;1;c;87775379;;FMS;30730;Fons;30-112;Gard;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;4.2066687;43.9073195;
97;Saint-Geni̬s-de-Malgoir̬s;1;c;87775361;;XGE;30190;Saint-Geni̬s-de-Malgoir̬s;30-255;Gard;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;4.2149416;43.9501684;
98;Nozi̬res - Brignon;1;c;87775353;;NOZ;30190;Brignon;30-053;Gard;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;4.2072916;43.9760134;
99;Boucoiran;1;c;87775346;;BKW;30190;Boucoiran-et-Nozi̬res;30-046;Gard;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;4.187634;43.9926943;
100;Al̬s;1;b;87775288;;ALS;30100;Al̬s;30-007;Gard;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;2;4.084948;44.127825;
101;Grand-Combe la Pise;1;c;87775254;;LGC;30110;Grand-Combe;30-132;Gard;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;4.0329591;44.2098159;
102;La Levade;1;c;87775247;;LLE;30110;Grand-Combe;30-132;Gard;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;4.0102736;44.228602;
103;Sainte-C̩cile-d'Andorge;1;c;87775239;;SCZ;30110;Sainte-C̩cile-d'Andorge;30-239;Gard;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.9758497;44.2554362;
104;Chamborigaud;1;c;87775221;;CBO;30530;Chamborigaud;30-080;Gard;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.9793332;44.3002429;
105;G̩nolhac;1;c;87775213;;GNC;30450;G̩nolhac;30-130;Gard;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.9516407;44.3471626;
106;Villefort;1;c;87775197;;VLF;48800;Villefort;48-198;Loz̬re;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.9240146;44.4395099;
107;La Bastide - Saint-Laurent-les-Bains;1;c;87775171;;LBS;48250;Bastide-Puylaurent;48-021;Loz̬re;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.9042849;44.5934829;
108;Chasserad̬s;1;c;87775148;;CJD;48250;Chasserad̬s;48-040;Loz̬re;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.8399319;44.5539847;
109;Gallargues;1;c;87775130;;GGE;30660;Gallargues-le-Montueux;30-123;Gard;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;4.1715027;43.716229;
111;Verg̬ze - Codognan;1;b;87775114;;VZC;30310;Verg̬ze;30-344;Gard;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;4.218842;43.739877;
112;Uchaud;1;c;87775106;;UCD;30620;Uchaud;30-333;Gard;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;4.2683101;43.7583991;
113;Milhaud;1;c;87775098;;MHU;30540;Milhaud;30-169;Gard;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;4.3033268;43.7884886;
114;Saint-C̩saire;1;c;87775072;;SCS;30900;Saint-C̩saire-de-Gauzignan;30-240;Gard;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;4.3276399;43.8133863;
115;Manduel - Redessan;1;c;87775064;;UEL;30129;Manduel;30-155;Gard;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;4.4793827;43.8264863;
117;Beaucaire;1;c;87775023;;BCK;30300;Beaucaire;30-032;Gard;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;4.6470865;43.80209;
118;N̨mes;1;a;87775007;;NMS;30000;N̨mes;30-189;Gard;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;2;4.365845;43.832291;
119;Frontignan;1;b;87773556;;FRN;34110;Frontignan;34-108;H̩rault;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.758689;43.444934;
120;Vic - Mireval;1;c;87773531;;VIC;34110;Vic-la-Gardiole;34-333;H̩rault;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.7994505;43.5007687;
121;Villeneuve-l̬s-Maguelone;1;c;87773515;;VLM;34750;Villeneuve-l̬s-Maguelone;34-337;H̩rault;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.849917;43.5438231;
123;Saint-Aun̬s;1;c;87773465;;XAU;34130;Saint-Aun̬s;34-240;H̩rault;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;3.9628994;43.6354383;
124;Baillargues;1;c;87773457;;BGU;34670;Baillargues;34-022;H̩rault;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;4.0071585;43.6533234;
126;Valergues - Lansargues;1;c;87773432;;VGU;34130;Valergues;34-321;H̩rault;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;4.0601085;43.672678;
127;Lunel-Viel;1;c;87773424;;LWQ;34400;Lunel-Viel;34-146;H̩rault;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;4.0937398;43.6811729;
128;Lunel;1;b;87773408;;LUN;34400;Lunel;34-145;H̩rault;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;1;4.131086;43.679392;
129;S̬te;1;a;87773200;;STE;34200;S̬te;34-301;H̩rault;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;2; 3.696560;43.412485;
130;Montpellier Saint-Roch;1;a;87773002;;MPL;34011;Montpellier;34-172;H̩rault;Languedoc-Roussillon;AG M̩diterran̩e;REGION LANGUEDOC-ROUSSILLON;3;3.880674;43.604738;
131;Entraigues-sur-la-Sorgue;1;c;87765826;;;84700;Entraigues-sur-la-Sorgue;84-043;Vaucluse;Provence-Alpes-C̫te d'Azur;AG M̩diterran̩e;REGION PROVENCE ALPES COTE D'AZUR;;4.9226971;44.0054278;
132;Monteux;1;c;87765818;;;84170;Monteux;84-080;Vaucluse;Provence-Alpes-C̫te d'Azur;AG M̩diterran̩e;REGION PROVENCE ALPES COTE D'AZUR;;4.9947813;44.0374619;
133;Carpentras;1;c;87765735;;;84000;Carpentras;84-031;Vaucluse;Provence-Alpes-C̫te d'Azur;AG M̩diterran̩e;REGION PROVENCE ALPES COTE D'AZUR;;5.044141;44.0499488;
134;Cavaillon;1;b;87765503;;CVN;84300;Cavaillon;84-035;Vaucluse;Provence-Alpes-C̫te d'Azur;AG M̩diterran̩e;REGION PROVENCE ALPES COTE D'AZUR;1;5.043613;43.834554;
135;L'Isle-sur-la-Sorgue - Fontaine-de-Vaucluse;1;b;87765479;;LFV;84800;Isle-sur-la-Sorgue;84-054;Vaucluse;Provence-Alpes-C̫te d'Azur;AG M̩diterran̩e;REGION PROVENCE ALPES COTE D'AZUR;1;5.047615;43.917393;
136;Le Thor;1;c;87765453;;LTH;84250;Thor;84-132;Vaucluse;Provence-Alpes-C̫te d'Azur;AG M̩diterran̩e;REGION PROVENCE ALPES COTE D'AZUR;1;4.9962663;43.9265047;
137;Gadagne;1;c;87765446;;GDA;84470;Ch̢teauneuf-de-Gadagne;84-036;Vaucluse;Provence-Alpes-C̫te d'Azur;AG M̩diterran̩e;REGION PROVENCE ALPES COTE D'AZUR;1;4.9568087;43.9296817;
138;Saint-Saturnin-l̬s-Avignon;1;c;87765438;;SSA;84450;Saint-Saturnin-l̬s-Avignon;84-119;Vaucluse;Provence-Alpes-C̫te d'Azur;AG M̩diterran̩e;REGION PROVENCE ALPES COTE D'AZUR;1;4.9352794;43.9531783;
139;Mori̬res-l̬s-Avignon;1;c;87765420;;MVG;84310;Mori̬res-l̬s-Avignon;84-081;Vaucluse;Provence-Alpes-C̫te d'Azur;AG M̩diterran̩e;REGION PROVENCE ALPES COTE D'AZUR;1;4.9082052;43.9414696;
